infinitive,gerund,present participle,past participle,compound verb,indicative|present|first person singular,indicative|present|second person singular,indicative|present|third person singular,indicative|present|first person plural,indicative|present|second person plural,indicative|present|third person plural,indicative|imperfect|first person singular,indicative|imperfect|second person singular,indicative|imperfect|third person singular,indicative|imperfect|first person plural,indicative|imperfect|second person plural,indicative|imperfect|third person plural,indicative|past historic|first person singular,indicative|past historic|second person singular,indicative|past historic|third person singular,indicative|past historic|first person plural,indicative|past historic|second person plural,indicative|past historic|third person plural,indicative|future|first person singular,indicative|future|second person singular,indicative|future|third person singular,indicative|future|first person plural,indicative|future|second person plural,indicative|future|third person plural,indicative|conditional|first person singular,indicative|conditional|second person singular,indicative|conditional|third person singular,indicative|conditional|first person plural,indicative|conditional|second person plural,indicative|conditional|third person plural,subjunctive|present|first person singular,subjunctive|present|second person singular,subjunctive|present|third person singular,subjunctive|present|first person plural,subjunctive|present|second person plural,subjunctive|present|third person plural,subjunctive|imperfect|first person singular,subjunctive|imperfect|second person singular,subjunctive|imperfect|third person singular,subjunctive|imperfect|first person plural,subjunctive|imperfect|second person plural,subjunctive|imperfect|third person plural,imperative|first person singular,imperative|second person singular,imperative|third person singular,imperative|first person plural,imperative|second person plural,imperative|third person plural
stagner,stagnant,stagnant,stagné,avoir,stagne,stagnes,stagne,stagnons,stagnez,stagnent,stagnais,stagnais,stagnait,stagnions,stagniez,stagnaient,stagnai,stagnas,stagna,stagnâmes,stagnâtes,stagnèrent,stagnerai,stagneras,stagnera,stagnerons,stagnerez,stagneront,stagnerais,stagnerais,stagnerait,stagnerions,stagneriez,stagneraient,stagne,stagnes,stagne,stagnions,stagniez,stagnent,stagnasse,stagnasses,stagnât,stagnassions,stagnassiez,stagnassent,,stagne,,stagnons,stagnez,
surmonter,surmontant,surmontant,surmonté,avoir,surmonte,surmontes,surmonte,surmontons,surmontez,surmontent,surmontais,surmontais,surmontait,surmontions,surmontiez,surmontaient,surmontai,surmontas,surmonta,surmontâmes,surmontâtes,surmontèrent,surmonterai,surmonteras,surmontera,surmonterons,surmonterez,surmonteront,surmonterais,surmonterais,surmonterait,surmonterions,surmonteriez,surmonteraient,surmonte,surmontes,surmonte,surmontions,surmontiez,surmontent,surmontasse,surmontasses,surmontât,surmontassions,surmontassiez,surmontassent,,surmonte,,surmontons,surmontez,
suffixer,suffixant,suffixant,suffixé,avoir,suffixe,suffixes,suffixe,suffixons,suffixez,suffixent,suffixais,suffixais,suffixait,suffixions,suffixiez,suffixaient,suffixai,suffixas,suffixa,suffixâmes,suffixâtes,suffixèrent,suffixerai,suffixeras,suffixera,suffixerons,suffixerez,suffixeront,suffixerais,suffixerais,suffixerait,suffixerions,suffixeriez,suffixeraient,suffixe,suffixes,suffixe,suffixions,suffixiez,suffixent,suffixasse,suffixasses,suffixât,suffixassions,suffixassiez,suffixassent,,suffixe,,suffixons,suffixez,
surgeler,surgelant,surgelant,surgelé,avoir,surgèle,surgèles,surgèle,surgelons,surgelez,surgèlent,surgelais,surgelais,surgelait,surgelions,surgeliez,surgelaient,surgelai,surgelas,surgela,surgelâmes,surgelâtes,surgelèrent,surgèlerai,surgèleras,surgèlera,surgèlerons,surgèlerez,surgèleront,surgèlerais,surgèlerais,surgèlerait,surgèlerions,surgèleriez,surgèleraient,surgèle,surgèles,surgèle,surgelions,surgeliez,surgèlent,surgelasse,surgelasses,surgelât,surgelassions,surgelassiez,surgelassent,,surgèle,,surgelons,surgelez,
sulfater,sulfatant,sulfatant,sulfaté,avoir,sulfate,sulfates,sulfate,sulfatons,sulfatez,sulfatent,sulfatais,sulfatais,sulfatait,sulfations,sulfatiez,sulfataient,sulfatai,sulfatas,sulfata,sulfatâmes,sulfatâtes,sulfatèrent,sulfaterai,sulfateras,sulfatera,sulfaterons,sulfaterez,sulfateront,sulfaterais,sulfaterais,sulfaterait,sulfaterions,sulfateriez,sulfateraient,sulfate,sulfates,sulfate,sulfations,sulfatiez,sulfatent,sulfatasse,sulfatasses,sulfatât,sulfatassions,sulfatassiez,sulfatassent,,sulfate,,sulfatons,sulfatez,
suicider,suicidant,suicidant,suicidé,être,suicide,suicides,suicide,suicidons,suicidez,suicident,suicidais,suicidais,suicidait,suicidions,suicidiez,suicidaient,suicidai,suicidas,suicida,suicidâmes,suicidâtes,suicidèrent,suiciderai,suicideras,suicidera,suiciderons,suiciderez,suicideront,suiciderais,suiciderais,suiciderait,suiciderions,suicideriez,suicideraient,suicide,suicides,suicide,suicidions,suicidiez,suicident,suicidasse,suicidasses,suicidât,suicidassions,suicidassiez,suicidassent,,suicide,,suicidons,suicidez,
solenniser,solennisant,solennisant,solennisé,avoir,solennise,solennises,solennise,solennisons,solennisez,solennisent,solennisais,solennisais,solennisait,solennisions,solennisiez,solennisaient,solennisai,solennisas,solennisa,solennisâmes,solennisâtes,solennisèrent,solenniserai,solenniseras,solennisera,solenniserons,solenniserez,solenniseront,solenniserais,solenniserais,solenniserait,solenniserions,solenniseriez,solenniseraient,solennise,solennises,solennise,solennisions,solennisiez,solennisent,solennisasse,solennisasses,solennisât,solennisassions,solennisassiez,solennisassent,,solennise,,solennisons,solennisez,
soudoyer,soudoyant,soudoyant,soudoyé,avoir,soudoie,soudoies,soudoie,soudoyons,soudoyez,soudoient,soudoyais,soudoyais,soudoyait,soudoyions,soudoyiez,soudoyaient,soudoyai,soudoyas,soudoya,soudoyâmes,soudoyâtes,soudoyèrent,soudoierai,soudoieras,soudoiera,soudoierons,soudoierez,soudoieront,soudoierais,soudoierais,soudoierait,soudoierions,soudoieriez,soudoieraient,soudoie,soudoies,soudoie,soudoyions,soudoyiez,soudoient,soudoyasse,soudoyasses,soudoyât,soudoyassions,soudoyassiez,soudoyassent,,soudoie,,soudoyons,soudoyez,
stariser,starisant,starisant,starisé,avoir,starise,starises,starise,starisons,starisez,starisent,starisais,starisais,starisait,starisions,starisiez,starisaient,starisai,starisas,starisa,starisâmes,starisâtes,starisèrent,stariserai,stariseras,starisera,stariserons,stariserez,stariseront,stariserais,stariserais,stariserait,stariserions,stariseriez,stariseraient,starise,starises,starise,starisions,starisiez,starisent,starisasse,starisasses,starisât,starisassions,starisassiez,starisassent,,starise,,starisons,starisez,
soupçonner,soupçonnant,soupçonnant,soupçonné,avoir,soupçonne,soupçonnes,soupçonne,soupçonnons,soupçonnez,soupçonnent,soupçonnais,soupçonnais,soupçonnait,soupçonnions,soupçonniez,soupçonnaient,soupçonnai,soupçonnas,soupçonna,soupçonnâmes,soupçonnâtes,soupçonnèrent,soupçonnerai,soupçonneras,soupçonnera,soupçonnerons,soupçonnerez,soupçonneront,soupçonnerais,soupçonnerais,soupçonnerait,soupçonnerions,soupçonneriez,soupçonneraient,soupçonne,soupçonnes,soupçonne,soupçonnions,soupçonniez,soupçonnent,soupçonnasse,soupçonnasses,soupçonnât,soupçonnassions,soupçonnassiez,soupçonnassent,,soupçonne,,soupçonnons,soupçonnez,
standardiser,standardisant,standardisant,standardisé,avoir,standardise,standardises,standardise,standardisons,standardisez,standardisent,standardisais,standardisais,standardisait,standardisions,standardisiez,standardisaient,standardisai,standardisas,standardisa,standardisâmes,standardisâtes,standardisèrent,standardiserai,standardiseras,standardisera,standardiserons,standardiserez,standardiseront,standardiserais,standardiserais,standardiserait,standardiserions,standardiseriez,standardiseraient,standardise,standardises,standardise,standardisions,standardisiez,standardisent,standardisasse,standardisasses,standardisât,standardisassions,standardisassiez,standardisassent,,standardise,,standardisons,standardisez,
surjouer,surjouant,surjouant,surjoué,avoir,surjoue,surjoues,surjoue,surjouons,surjouez,surjouent,surjouais,surjouais,surjouait,surjouions,surjouiez,surjouaient,surjouai,surjouas,surjoua,surjouâmes,surjouâtes,surjouèrent,surjouerai,surjoueras,surjouera,surjouerons,surjouerez,surjoueront,surjouerais,surjouerais,surjouerait,surjouerions,surjoueriez,surjoueraient,surjoue,surjoues,surjoue,surjouions,surjouiez,surjouent,surjouasse,surjouasses,surjouât,surjouassions,surjouassiez,surjouassent,,surjoue,,surjouons,surjouez,
souffler,soufflant,soufflant,soufflé,avoir,souffle,souffles,souffle,soufflons,soufflez,soufflent,soufflais,soufflais,soufflait,soufflions,souffliez,soufflaient,soufflai,soufflas,souffla,soufflâmes,soufflâtes,soufflèrent,soufflerai,souffleras,soufflera,soufflerons,soufflerez,souffleront,soufflerais,soufflerais,soufflerait,soufflerions,souffleriez,souffleraient,souffle,souffles,souffle,soufflions,souffliez,soufflent,soufflasse,soufflasses,soufflât,soufflassions,soufflassiez,soufflassent,,souffle,,soufflons,soufflez,
sommer,sommant,sommant,sommé,avoir,somme,sommes,somme,sommons,sommez,somment,sommais,sommais,sommait,sommions,sommiez,sommaient,sommai,sommas,somma,sommâmes,sommâtes,sommèrent,sommerai,sommeras,sommera,sommerons,sommerez,sommeront,sommerais,sommerais,sommerait,sommerions,sommeriez,sommeraient,somme,sommes,somme,sommions,sommiez,somment,sommasse,sommasses,sommât,sommassions,sommassiez,sommassent,,somme,,sommons,sommez,
somatiser,somatisant,somatisant,somatisé,avoir,somatise,somatises,somatise,somatisons,somatisez,somatisent,somatisais,somatisais,somatisait,somatisions,somatisiez,somatisaient,somatisai,somatisas,somatisa,somatisâmes,somatisâtes,somatisèrent,somatiserai,somatiseras,somatisera,somatiserons,somatiserez,somatiseront,somatiserais,somatiserais,somatiserait,somatiserions,somatiseriez,somatiseraient,somatise,somatises,somatise,somatisions,somatisiez,somatisent,somatisasse,somatisasses,somatisât,somatisassions,somatisassiez,somatisassent,,somatise,,somatisons,somatisez,
subjectiviser,subjectivisant,subjectivisant,subjectivisé,avoir,subjectivise,subjectivises,subjectivise,subjectivisons,subjectivisez,subjectivisent,subjectivisais,subjectivisais,subjectivisait,subjectivisions,subjectivisiez,subjectivisaient,subjectivisai,subjectivisas,subjectivisa,subjectivisâmes,subjectivisâtes,subjectivisèrent,subjectiviserai,subjectiviseras,subjectivisera,subjectiviserons,subjectiviserez,subjectiviseront,subjectiviserais,subjectiviserais,subjectiviserait,subjectiviserions,subjectiviseriez,subjectiviseraient,subjectivise,subjectivises,subjectivise,subjectivisions,subjectivisiez,subjectivisent,subjectivisasse,subjectivisasses,subjectivisât,subjectivisassions,subjectivisassiez,subjectivisassent,,subjectivise,,subjectivisons,subjectivisez,
surexposer,surexposant,surexposant,surexposé,avoir,surexpose,surexposes,surexpose,surexposons,surexposez,surexposent,surexposais,surexposais,surexposait,surexposions,surexposiez,surexposaient,surexposai,surexposas,surexposa,surexposâmes,surexposâtes,surexposèrent,surexposerai,surexposeras,surexposera,surexposerons,surexposerez,surexposeront,surexposerais,surexposerais,surexposerait,surexposerions,surexposeriez,surexposeraient,surexpose,surexposes,surexpose,surexposions,surexposiez,surexposent,surexposasse,surexposasses,surexposât,surexposassions,surexposassiez,surexposassent,,surexpose,,surexposons,surexposez,
surchauffer,surchauffant,surchauffant,surchauffé,avoir,surchauffe,surchauffes,surchauffe,surchauffons,surchauffez,surchauffent,surchauffais,surchauffais,surchauffait,surchauffions,surchauffiez,surchauffaient,surchauffai,surchauffas,surchauffa,surchauffâmes,surchauffâtes,surchauffèrent,surchaufferai,surchaufferas,surchauffera,surchaufferons,surchaufferez,surchaufferont,surchaufferais,surchaufferais,surchaufferait,surchaufferions,surchaufferiez,surchaufferaient,surchauffe,surchauffes,surchauffe,surchauffions,surchauffiez,surchauffent,surchauffasse,surchauffasses,surchauffât,surchauffassions,surchauffassiez,surchauffassent,,surchauffe,,surchauffons,surchauffez,
strier,striant,striant,strié,avoir,strie,stries,strie,strions,striez,strient,striais,striais,striait,striions,striiez,striaient,striai,strias,stria,striâmes,striâtes,strièrent,strierai,strieras,striera,strierons,strierez,strieront,strierais,strierais,strierait,strierions,strieriez,strieraient,strie,stries,strie,striions,striiez,strient,striasse,striasses,striât,striassions,striassiez,striassent,,strie,,strions,striez,
soutirer,soutirant,soutirant,soutiré,avoir,soutire,soutires,soutire,soutirons,soutirez,soutirent,soutirais,soutirais,soutirait,soutirions,soutiriez,soutiraient,soutirai,soutiras,soutira,soutirâmes,soutirâtes,soutirèrent,soutirerai,soutireras,soutirera,soutirerons,soutirerez,soutireront,soutirerais,soutirerais,soutirerait,soutirerions,soutireriez,soutireraient,soutire,soutires,soutire,soutirions,soutiriez,soutirent,soutirasse,soutirasses,soutirât,soutirassions,soutirassiez,soutirassent,,soutire,,soutirons,soutirez,
socialiser,socialisant,socialisant,socialisé,avoir,socialise,socialises,socialise,socialisons,socialisez,socialisent,socialisais,socialisais,socialisait,socialisions,socialisiez,socialisaient,socialisai,socialisas,socialisa,socialisâmes,socialisâtes,socialisèrent,socialiserai,socialiseras,socialisera,socialiserons,socialiserez,socialiseront,socialiserais,socialiserais,socialiserait,socialiserions,socialiseriez,socialiseraient,socialise,socialises,socialise,socialisions,socialisiez,socialisent,socialisasse,socialisasses,socialisât,socialisassions,socialisassiez,socialisassent,,socialise,,socialisons,socialisez,
supporter,supportant,supportant,supporté,avoir,supporte,supportes,supporte,supportons,supportez,supportent,supportais,supportais,supportait,supportions,supportiez,supportaient,supportai,supportas,supporta,supportâmes,supportâtes,supportèrent,supporterai,supporteras,supportera,supporterons,supporterez,supporteront,supporterais,supporterais,supporterait,supporterions,supporteriez,supporteraient,supporte,supportes,supporte,supportions,supportiez,supportent,supportasse,supportasses,supportât,supportassions,supportassiez,supportassent,,supporte,,supportons,supportez,
songer,songeant,songeant,songé,avoir,songe,songes,songe,songeons,songez,songent,songeais,songeais,songeait,songions,songiez,songeaient,songeai,songeas,songea,songeâmes,songeâtes,songèrent,songerai,songeras,songera,songerons,songerez,songeront,songerais,songerais,songerait,songerions,songeriez,songeraient,songe,songes,songe,songions,songiez,songent,songeasse,songeasses,songeât,songeassions,songeassiez,songeassent,,songe,,songeons,songez,
surmiser,surmisant,surmisant,surmisé,avoir,surmise,surmises,surmise,surmisons,surmisez,surmisent,surmisais,surmisais,surmisait,surmisions,surmisiez,surmisaient,surmisai,surmisas,surmisa,surmisâmes,surmisâtes,surmisèrent,surmiserai,surmiseras,surmisera,surmiserons,surmiserez,surmiseront,surmiserais,surmiserais,surmiserait,surmiserions,surmiseriez,surmiseraient,surmise,surmises,surmise,surmisions,surmisiez,surmisent,surmisasse,surmisasses,surmisât,surmisassions,surmisassiez,surmisassent,,surmise,,surmisons,surmisez,
staffer,staffant,staffant,staffé,avoir,staffe,staffes,staffe,staffons,staffez,staffent,staffais,staffais,staffait,staffions,staffiez,staffaient,staffai,staffas,staffa,staffâmes,staffâtes,staffèrent,stafferai,stafferas,staffera,stafferons,stafferez,stafferont,stafferais,stafferais,stafferait,stafferions,stafferiez,stafferaient,staffe,staffes,staffe,staffions,staffiez,staffent,staffasse,staffasses,staffât,staffassions,staffassiez,staffassent,,staffe,,staffons,staffez,
supplier,suppliant,suppliant,supplié,avoir,supplie,supplies,supplie,supplions,suppliez,supplient,suppliais,suppliais,suppliait,suppliions,suppliiez,suppliaient,suppliai,supplias,supplia,suppliâmes,suppliâtes,supplièrent,supplierai,supplieras,suppliera,supplierons,supplierez,supplieront,supplierais,supplierais,supplierait,supplierions,supplieriez,supplieraient,supplie,supplies,supplie,suppliions,suppliiez,supplient,suppliasse,suppliasses,suppliât,suppliassions,suppliassiez,suppliassent,,supplie,,supplions,suppliez,
soustraire,soustrayant,soustrayant,soustrait,avoir;être,soustrais,soustrais,soustrait,soustrayons,soustrayez,soustraient,soustrayais,soustrayais,soustrayait,soustrayions,soustrayiez,soustrayaient,soustrayai,soustrayas,soustraya,soustrayâmes,soustrayâtes,soustrayèrent,soustrairai,soustrairas,soustraira,soustrairons,soustrairez,soustrairont,soustrairais,soustrairais,soustrairait,soustrairions,soustrairiez,soustrairaient,soustraie,soustraies,soustraie,soustrayions,soustrayiez,soustraient,soustrayasse,soustrayasses,soustrayât,soustrayassions,soustrayassiez,soustrayassent,,soustraie,,soustrayons,soustrayez,
surplomber,surplombant,surplombant,surplombé,avoir,surplombe,surplombes,surplombe,surplombons,surplombez,surplombent,surplombais,surplombais,surplombait,surplombions,surplombiez,surplombaient,surplombai,surplombas,surplomba,surplombâmes,surplombâtes,surplombèrent,surplomberai,surplomberas,surplombera,surplomberons,surplomberez,surplomberont,surplomberais,surplomberais,surplomberait,surplomberions,surplomberiez,surplomberaient,surplombe,surplombes,surplombe,surplombions,surplombiez,surplombent,surplombasse,surplombasses,surplombât,surplombassions,surplombassiez,surplombassent,,surplombe,,surplombons,surplombez,
soumettre,soumettant,soumettant,soumis,avoir,soumets,soumets,soumet,soumettons,soumettez,soumettent,soumettais,soumettais,soumettait,soumettions,soumettiez,soumettaient,soumis,soumis,soumit,soumîmes,soumîtes,soumirent,soumettrai,soumettras,soumettra,soumettrons,soumettrez,soumettront,soumettrais,soumettrais,soumettrait,soumettrions,soumettriez,soumettraient,soumette,soumettes,soumette,soumettions,soumettiez,soumettent,soumisse,soumisses,soumît,soumissions,soumissiez,soumissent,,soumets,,soumettons,soumettez,
soûler,soûlant,soûlant,soûlé,avoir,soûle,soûles,soûle,soûlons,soûlez,soûlent,soûlais,soûlais,soûlait,soûlions,soûliez,soûlaient,soûlai,soûlas,soûla,soûlâmes,soûlâtes,soûlèrent,soûlerai,soûleras,soûlera,soûlerons,soûlerez,soûleront,soûlerais,soûlerais,soûlerait,soûlerions,soûleriez,soûleraient,soûle,soûles,soûle,soûlions,soûliez,soûlent,soûlasse,soûlasses,soûlât,soûlassions,soûlassiez,soûlassent,,soûle,,soûlons,soûlez,
survêtir,survêtant,survêtant,survêtu,avoir,survêts,survêts,survêt,survêtions,survêtez,survêtent,survêtais,survêtais,survêtait,survêtions,survêtiez,survêtaient,survêtis,survêtis,survêtit,survêtîmes,survêtîtes,survêtirent,survêtirai,survêtiras,survêtira,survêtirons,survêtirez,survêtiront,survêtirais,survêtirais,survêtirait,survêtirions,survêtiriez,survêtiraient,survête,survêtes,survête,survêtions,survêtiez,survêtent,survêtisse,survêtisses,survêtît,survêtissions,survêtissiez,survêtissent,,survêts,,survêtons,survêtez,
stigmatiser,stigmatisant,stigmatisant,stigmatisé,avoir,stigmatise,stigmatises,stigmatise,stigmatisons,stigmatisez,stigmatisent,stigmatisais,stigmatisais,stigmatisait,stigmatisions,stigmatisiez,stigmatisaient,stigmatisai,stigmatisas,stigmatisa,stigmatisâmes,stigmatisâtes,stigmatisèrent,stigmatiserai,stigmatiseras,stigmatisera,stigmatiserons,stigmatiserez,stigmatiseront,stigmatiserais,stigmatiserais,stigmatiserait,stigmatiserions,stigmatiseriez,stigmatiseraient,stigmatise,stigmatises,stigmatise,stigmatisions,stigmatisiez,stigmatisent,stigmatisasse,stigmatisasses,stigmatisât,stigmatisassions,stigmatisassiez,stigmatisassent,,stigmatise,,stigmatisons,stigmatisez,
substituer,substituant,substituant,substitué,avoir,substitue,substitues,substitue,substituons,substituez,substituent,substituais,substituais,substituait,substituions,substituiez,substituaient,substituai,substituas,substitua,substituâmes,substituâtes,substituèrent,substituerai,substitueras,substituera,substituerons,substituerez,substitueront,substituerais,substituerais,substituerait,substituerions,substitueriez,substitueraient,substitue,substitues,substitue,substituions,substituiez,substituent,substituasse,substituasses,substituât,substituassions,substituassiez,substituassent,,substitue,,substituons,substituez,
surimprimer,surimprimant,surimprimant,surimprimé,avoir,surimprime,surimprimes,surimprime,surimprimons,surimprimez,surimpriment,surimprimais,surimprimais,surimprimait,surimprimions,surimprimiez,surimprimaient,surimprimai,surimprimas,surimprima,surimprimâmes,surimprimâtes,surimprimèrent,surimprimerai,surimprimeras,surimprimera,surimprimerons,surimprimerez,surimprimeront,surimprimerais,surimprimerais,surimprimerait,surimprimerions,surimprimeriez,surimprimeraient,surimprime,surimprimes,surimprime,surimprimions,surimprimiez,surimpriment,surimprimasse,surimprimasses,surimprimât,surimprimassions,surimprimassiez,surimprimassent,,surimprime,,surimprimons,surimprimez,
